"%s is available for purchase in increments of %s only.","%s está disponível somente na quantidade mínima de %s itens."
"%s is not a correct comparsion method.","%s não é a melhor forma de comparar."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Atenção</strong>, estas configurações são aplicadas aos itens do carrinho, não para todo carrinho."
"Add Minimum Qty","Adicionar Quantidade Mínima"
"Allow Qty Below 0","Aceitar Pedido com Estoque Zerado"
"Allow Qty Below 0 and Notify Customer","Aceitar Pedido com Estoque Zerado e Alertar Cliente"
"Automatically Return Credit Memo Item to Stock","Retornar Automaticamente Item de Reembolso para o Estoque"
"Backorders","Pedido Aguardando Estoque"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Porcentagem"
"Cannot specify product identifier for the order item.","Não foi possível identificar o produto solicitado no pedido."
"Catalog Inventory","Estoque do Catálogo"
"Decrease Stock When Order is Placed","Reduzir Estoque Quando Pedido for Aprovado"
"Display Out of Stock Products","Exibir Produtos Sem Estoque"
"Enable Qty Increments","Habilitar Quantidade Incremento"
"In Stock","Em Estoque"
"Index Product Stock Status","Status da Indexação de Estoques"
"Inventory","Estoque"
"Inventory API","API de Estoque"
"Inventory Section","Seção Estoque"
"Manage Stock","Controlar Estoque"
"Maximum Qty Allowed in Shopping Cart","Qtd Máxima Permitida no Carrinho de Compras"
"Minimum Qty","Quantidade Mínima"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"No Backorders","Recusar Pedido Sem Estoque"
"Not all products are available in the requested quantity","Nem todos os produtos estão disponíveis na quantidade solicitada"
"Notify for Quantity Below","Avisar Quando Qtd Baixar de"
"Only X left Threshold","Deixar Apenas X Limite"
"Out of Stock","Esgotado"
"Product Stock Options","Controle de Estoque"
"Qty Increments","Quantidade p/ Incremento"
"Qty for Item's Status to Become Out of Stock","Marcar como 'Esgotado' Quando Qtd Chegar a"
"Retrieve stock data","Recuperar informações do estoque"
"Retrieve stock data by product ids","Recuperar informações do estoque por id de produto"
"Rule price","Regra de Preço"
"Set Items' Status to be In Stock When Order is Cancelled","Reajustar Estoque Quando Pedidor for Cancelado"
"Some of the products cannot be ordered in requested quantity.","Alguns produtos não podem ser vendidos na quantidade solicitada."
"Stock Options","Opções de Estoque"
"Stock Status","Situação do Estoque"
"The stock item for Product in option is not valid.","O estoque para esta opção de produto não possui um valor válido."
"The stock item for Product is not valid.","O estoque para o produto não possui um valor válido."
"This product is available for purchase in increments of %s only.","Este produto está disponível somente nas quantidades %s itens."
"To Fixed Value","Valor Fixo"
"To Percentage","Porcentagem"
"Undefined product type.","Tipo de produto desconhecido."
"Update","Atualizar"
"Update product stock data","Atualizar informações de estoque"
"Update the Product","Atualizar Produto"
